[0.3 - 6.3] 中东这件事上,最重要的一个看点,在我来看,就是关于亚伯拉罕协议了。
[256.2 - 257.8] 已的一些重要的援助
[257.8 - 262.7] 那么接下来它可以去主动性操作的灵活性的空间
[262.7 - 265.0] 跟之前相比就要小很多了
[265.0 - 269.1] 我们知道之前沙巴土是签了共同防御协议的
[269.1 - 273.5] 土和巴接下来会不会出手帮助沙呢
[273.5 - 274.7] 我觉得有可能
[274.7 - 276.3] 但关键的问题点是
[276.3 - 279.7] 当沙四方求助的时候
[279.7 - 281.0] 第一个出手
[281.0 - 282.2] 实质性的出手
[282.2 - 283.6] 而且公开的出手
[283.6 - 285.4] 帮助它的是已
[285.4 - 286.9] 当然其实我们很清楚
[286.9 - 292.2] 当前土和巴没有在第一时间非常快速的就去出手
[292.2 - 294.1] 其实他们也很清楚
[294.1 - 296.0] 这就是美的一个阳谋
[296.0 - 298.8] 因为一旦这些都出手了
[298.8 - 302.4] 也就意味着接下来中东会越来越乱
[302.4 - 307.8] 也就是说大家都要被迫卷入到这场中东战争中
[307.8 - 312.4] 到那个时候美就可以先把自己宅出来
[312.4 - 314.8] 看他们在里面折腾
[314.8 - 318.2] 然後很有可能又是那個最後偷逃的人
[318.2 - 321.3] 當然他不會輕易的就從這個地方離開
[321.3 - 322.4] 他的航母也不會走
[322.4 - 325.8] 但只是讓他們先去折騰
[325.8 - 327.5] 讓他們內部更亂
[327.5 - 328.8] 這麼多年以來
[328.8 - 330.9] 美的思路不是一直都是這樣的嗎
[330.9 - 333.2] 但我們也換位思考一下
[333.2 - 334.3] 如果你是殺
[334.3 - 336.1] 當你四處求援
[336.1 - 338.1] 而第一個實質性站出來的
[338.1 - 339.6] 幫助你的是你
[339.6 - 341.1] 你會怎麼想呢
[341.1 - 341.9] 那我們知道
[341.9 - 344.6] 美下周要跟中東的這些國家
[344.6 - 346.2] 在英文要開會
[346.6 - 350.7] 那如果亞伯拉罕協議接下來的方向是會進一步的突破的話
[351.0 - 354.2] 其實這場會議也就意味著美
[354.5 - 356.9] 要對這些海灣國家
[357.2 - 358.6] 要統一思想
[358.7 - 360.8] 那這個統一思想的目標就是
[361.2 - 364.2] 對於接下來的中東戰爭
[364.2 - 365.8] 要更進一步的
[366.3 - 368.6] 更徹底的去解決
[368.7 - 370.9] 最後別忘了我們之前跟大家分享的
[371.2 - 372.8] 美接下來要推進的
[372.8 - 375.0] 或者是说其实它一直希望推进的
[375.0 - 378.6] 但是由于中东很现实的一些矛盾
[378.6 - 381.2] 被卡住的就是IMEC
[381.2 - 383.1] 新中东经济走廊
[383.4 - 386.1] 那这其实是美这些年
[386.1 - 388.8] 一直希望去快速推进的
[389.2 - 392.1] 新的全球产业链 供应链
[392.1 - 393.9] 如果想推进IMEC
[393.9 - 396.1] 或者是说更长期的
[396.2 - 400.0] 更在它来看可控的去推进IMEC的话
[400.0 - 404.4] 那么前提就是亚伯拉罕协议要全面化
[404.4 - 406.1] 所以接下来的这一两个月
[406.1 - 409.4] 沙以之间的不管是关系还是互动
[409.4 - 412.2] 还是在相关方面的合作方式
[412.2 - 413.8] 其实是非常重要的
[413.8 - 416.1] 好 最后我们再稍微说两句
[416.1 - 419.9] 美这两天签下的对于格林兰岛的
[419.9 - 423.3] 安全方面的永久性的相关权利
[423.3 - 424.8] 也就是没有期限
[424.8 - 426.4] 那未来在这个地方
[426.4 - 428.8] 不管是军事的还有相关投资的
[428.8 - 432.6] 等等一系列都需要有美的同意
[432.6 - 437.0] 那這件事情其實我想跟大家重點分享的是這兩點
[437.0 - 442.1] 第一就是如果大家還記得去年關於加沙和平二十點計劃
[442.1 - 446.3] 跟這個其實很類似就是之前不管是中東的國家
[446.3 - 448.2] 還是歐洲的國家各種反對
[448.2 - 452.2] 後來突然有一天就簽了
[452.2 - 454.6] 然後這些反對的聲音都沒有了
[454.6 - 458.9] 這次也是之前歐洲丹麥包括格陵蘭
[458.9 - 461.4] 堅決不同意,各種反對,各種反對
[461.4 - 463.9] 但突然又有一天就這麼簽了
[463.9 - 466.9] 而且大家都同意,大家都你好我好
[466.9 - 468.6] 背後其實是什麼呢?
[468.6 - 471.2] 就是交易,就是利益
[471.2 - 475.2] 一定是之前的相關反對的這些
[475.2 - 478.2] 拿到了其他方面的
[478.2 - 480.0] 他們所希望拿到的一些利益
[480.0 - 482.2] 對於特政府來說,其實它用的方式
[482.2 - 483.8] 基本上沒有太大的區別
[483.8 - 485.2] 就是先喊一個最高價
[485.2 - 488.0] 然後讓大家都覺得完全不可能
[488.0 - 494.0] 然后最终最终其实他想要的就是那条他自己看来的底线
[494.0 - 497.2] 那这次的格林兰岛其实就是这样
[497.2 - 500.2] 从一开始大家就知道这个地方划归他所有
[500.2 - 502.7] 可能性岌步为零
[502.7 - 506.7] 但是他要的就是在这个地方更多的话一圈
[506.7 - 510.7] 大家应该还记得我去年在视频中分享就是
[510.7 - 515.7] 在我来看他就是想在格林兰岛接下来去当那个董事长
[515.7 - 519.5] 要拥有对这个地方的实质性的话语权
[519.9 - 522.3] 他看重的并不是主权
[522.5 - 524.4] 第二 稀土当然很重要
[524.6 - 526.5] 但格林兰岛的稀土开采
[526.8 - 528.2] 不管是南渡还是城门
[528.2 - 529.6] 比其他地方都是要大
[530.2 - 532.4] 而现在全球有越来越多的地方
[532.6 - 534.8] 都发现各种各样的稀土了
[534.8 - 538.3] 所以稀土的问题不是第一要务
[538.6 - 541.5] 好 第二 北极航线也很重要
[541.9 - 544.2] 但是这也不是在短期
[544.2 - 548.3] 对它具有实质性的、致命性的影响力
[548.3 - 554.8] 其实最重要的,在我看来,还是它接下来要步入的新穷
[554.8 - 559.8] 是空中作战体系,或者是说作战加防御体系
[559.8 - 562.8] 大家应该通过最近这一个多月的各种新闻
[562.8 - 569.2] 能够感受到,未来全方位的博弈中要升级的一点
[569.2 - 571.2] 其实就是在空中作战
[571.2 - 574.2] 不管是马斯克的SpaceX
[574.2 - 578.8] 还有它新发射的星链 Starlink
[578.8 - 585.0] 然后美最近释放出来的他们在空中的相关新的作战能力
[585.0 - 589.0] 以及美的相关AI科技公司在当下以及接下来
[589.0 - 592.0] 在太空作战体系的深度融合
[592.0 - 598.0] 这些种种的因素都已经更加提前的展现在我们面前了
[598.0 - 599.0] 在我们面前了
[599.0 - 601.4] 所以不管是前面我们跟大家分享的
[601.4 - 602.7] 沙尔之间的关系
[602.7 - 604.5] 到接下来的亚巴汗协议
[604.5 - 605.7] 再到IMEC
[606.1 - 607.8] 以及格林兰岛
[607.8 - 610.4] 美相关实质性的突破
[610.4 - 612.5] 其实都反映出美正在利用
[612.5 - 614.4] 当前的这场中东战争
[614.4 - 616.5] 看似是一个局部战争
[617.0 - 619.8] 在推进其他相关方面
[620.0 - 621.2] 还要推进的事情
[621.9 - 622.7] 能源的
[623.2 - 624.0] 金融的
[624.4 - 625.2] 地缘的
[625.6 - 626.4] 军事的
[626.7 - 627.3] 政治的
