[0.0 - 2.5] 今天想跟朋友们分享一个比较前沿的思考,
[199.1 - 200.7] 那为什么我再思考这件事情呢
[201.0 - 203.2] 很核心的一个原因就是我们看一下
[203.2 - 205.2] Tether公司它都在干什么
[205.2 - 207.2] 首先它发稳定币
[207.2 - 210.2] 其次它购买大量的美国国债
[210.2 - 212.2] 与此同时它在囤黄金
[212.2 - 214.2] 而且它也发行黄金代币
[214.2 - 215.2] XAUT
[215.2 - 219.2] 那是目前这个领域里边流通规模最大的
[219.2 - 221.2] 当然跟石油方面去挂钩的
[221.2 - 225.2] 稳定币在大宗零售端的尝试也是它
[225.2 - 228.2] 所以我们看一下好像这家公司只是发行USDT
[228.2 - 232.2] 但如果认真去思考它做的这几个业务
[232.2 - 236.8] 其实所触达的方向或者是说目标是非常明确的
[236.8 - 239.9] 好 我们回顾一下从去年到今年的一些时间
[239.9 - 242.1] 美的重点的这些金融机构
[242.1 - 244.5] 包括一些金融媒体联合
[244.5 - 245.6] 可以说是联合吧
[245.6 - 247.0] 各种去吹黄金
[247.0 - 249.3] 当然给出的理由都是非常非常合理的
[249.3 - 250.6] 让人没有办法拒绝的
[250.6 - 254.2] 然后让全球对于金接下来的走势
[254.2 - 255.6] 有高度的共识
[255.6 - 256.9] 甚至过度的共识
[256.9 - 257.9] 而接下来呢
[257.9 - 259.5] 他们高位出货了
[259.5 - 260.7] 他们在打压
[260.7 - 261.7] 他们在压制
[261.7 - 263.1] 进入到一个新的阶段
[263.1 - 266.7] 就是让一些人对于金开始有所动摇
[266.7 - 268.5] 开始有些担忧
[268.9 - 271.5] 更重要的是让大家去理解
[271.5 - 273.4] 在真正的冲突
[273.4 - 276.0] 尤其是地缘冲突发生的时候
[276.1 - 278.8] 最重要的或者是说大量的资金
[278.8 - 280.6] 还是会回到美元中
[280.6 - 280.8] 好
[280.8 - 283.3] 那这个新的阶段的共识又形成之后
[283.5 - 285.5] 他们又会利用这个阶段
[285.7 - 287.3] 接下来要去推进的
[287.3 - 288.7] 就是稳定币的发展
[288.7 - 290.7] 我们知道现在在全球范围不断的
[290.7 - 293.1] 有国家在接受使用稳定币
[293.1 - 295.9] 那按照美这段时间所透露的思路就是
[295.9 - 297.5] 接下来要快速推进
[297.5 - 301.0] 它在全球更多的国家地区使用落地
[301.0 - 302.9] 那么也就意味着全球越来越多的
[302.9 - 305.5] 不管是支付到后面现实资产
[305.5 - 306.8] 再跟稳定币挂钩
[306.8 - 308.9] 当然这其中也是会包括黄金的
[308.9 - 310.7] 那么到那个时候美的金融媒体
[310.7 - 312.7] 金融机构就可以引导
[312.7 - 315.4] 或者是说更加放心的去引导
[315.4 - 317.9] 更多的资金流入到金的市场
[317.9 - 319.6] 当然这个时候金的市场
[319.6 - 321.8] 不是傳統的實物黃金
[321.8 - 323.6] 而是代幣化黃金
[323.6 - 326.6] 以及與穩定幣掛鉤的黃金
[326.6 - 328.6] 所以綜上所述 我的理解
[328.6 - 331.1] 在那個時期之前
[331.1 - 333.0] 金都是沒有辦法
[333.0 - 335.1] 或者是說暫時沒有辦法
[335.1 - 337.9] 非常舒服的 自由的
[337.9 - 339.7] 或者是說不被壓制的
[339.7 - 341.0] 就這麼一路上漲的
[341.0 - 341.6] 它會漲
[341.6 - 343.8] 但是會被美利用各種事件
[343.8 - 347.8] 尤其是一些局部的不穩定事件去打壓
[347.8 - 349.6] 那在这种反复的摩擦中
[349.6 - 351.7] 一方面会让很多人
[351.7 - 354.3] 对于金的看法有一定的改变
[354.3 - 357.5] 另外就是他需要通过这个时间段
[357.5 - 360.4] 去推进其他方面他要推进的
[360.4 - 362.5] 加密资产以及稳定币的工作
[362.5 - 364.2] 好了那这是我这段时间的
[364.2 - 365.7] 思考跟大家做的分享
[365.7 - 367.6] 需要未来的时间去检验
[367.6 - 369.9] 不过最后还是想提醒朋友们
[369.9 - 372.4] 一定不要在金这件事情上
[372.4 - 374.8] 有过多的短期投机行为
[374.8 - 377.7] 还是要把它作为一个长期投资
[377.7 - 379.9] 去看待 因为在接下来的这个阶段
[379.9 - 383.0] 它更多的其实还是起到调节器的作用
[383.6 - 386.0] 与此同时它的反复波动
[386.0 - 388.2] 才是资本最好的收割方式
