[0.0 - 5.0] 国际原油价格回到了一个多月前的位置,已经接近100美元每桶了。
[380.3 - 383.1] 如果核的問題不得到解決
[383.1 - 385.9] 特的中期選舉是一定沒有希望的
[385.9 - 390.3] 如果能解決 那麼可能還有一丁點的希望
[390.3 - 393.1] 第三 雙方之間是沒有任何信任可言的
[393.1 - 396.5] 不管是什麼MOU 還是接下來又談了
[396.5 - 398.7] 還是又簽了一個什麼短暫的停火
[398.7 - 400.5] 都沒有任何可信度
[400.5 - 402.3] 最後通過前面的一些分析
[402.3 - 405.6] 大家应该能够对美当下的相关思路比较清楚了
[405.6 - 407.5] 一方面自己去打一
[407.5 - 409.7] 而且要先暂时按住一
[409.7 - 412.4] 因为一旦在美还没有搞定
[412.4 - 415.3] 中东周边的相关穆斯林国家
[415.3 - 416.9] 而以就加入的话
[416.9 - 418.2] 那么问题就复杂化了
[418.2 - 420.6] 而且很难避开宗教的原因
[420.6 - 422.9] 然后就是自己一个一个单点突破
[422.9 - 424.1] 方式方法就是
[424.1 - 426.8] 我尽可能给你你最想要的
[426.8 - 429.1] 把这个最艰难的工作做完之后
[429.1 - 430.2] 再接下来
[430.2 - 433.1] 才有可能跟以再進行更多的配合
[433.1 - 434.1] 在我來看啊
[434.1 - 434.9] 接下來一段時間
[434.9 - 436.9] 有些事情可能還是會有反覆的
[436.9 - 441.1] 因為畢竟這已經到了最後的利益博弈的關口了
[441.1 - 443.5] 但整體的大方向其實已經比較明確了
[443.5 - 446.1] 至於一些還暫時不太誠實的指標
[446.1 - 448.4] 我相信很快也都會誠實的
