[0.0 - 3.8] 从1948年到1982年,我们经历了五次中东战争。
[281.5 - 283.4] 所以这其实也就进一步反映出
[283.4 - 286.0] 之所以美当前要摁着以
[286.0 - 290.3] 暫時不讓它再重新加入到當前的這場中東戰爭中
[290.3 - 293.7] 就是為了避免在阿富汗協議推進之前
[293.7 - 295.1] 又讓這個地方
[295.1 - 298.7] 也就是說又讓以色列跟中東的阿拉伯國家之間
[298.7 - 300.5] 陷入到宗教的難題
[300.5 - 301.7] 而就在這個時候
[301.7 - 304.7] 沙特也公佈了一個跟美進出口銀行
[304.7 - 307.9] 達成的150億美元的合作計劃
[307.9 - 312.6] 包括先進技術、航天行業基礎設施、關鍵礦產等等
[312.6 - 315.5] 那未來也會購買美更多的商品
[315.5 - 317.8] 而就在前两天阿联酋也表态说
[317.8 - 320.8] 之前他们预计未来十年会完成的
[320.8 - 323.2] 对美投资1.4万亿美元的计划
[323.2 - 324.4] 会提前完成
[324.4 - 326.7] 而接下来美政府也会进一步的放宽
[326.7 - 330.1] 让阿联酋获得更多的高端AI芯片
[330.1 - 333.0] 所以从前面沙特跟阿联酋的相关行为
[333.0 - 334.4] 我不知道大家能不能感受出
[334.4 - 337.8] 他们其实都是希望能够通过当前的这场中东战争
[337.8 - 339.8] 为自己获得更多的利益
[339.8 - 343.9] 一方面是来自于美的相关方面的支持
[343.9 - 346.3] 另外一方面就是重塑自己在这个地方
[346.3 - 349.4] 未来科技经济金融的发展的利益
[349.4 - 351.6] 那我们知道阿联酋在特的第一个任期
[351.6 - 353.1] 其实已经加入亚伯拉罕协议了
[353.1 - 355.1] 那现在沙特其实就要想了
[355.1 - 357.6] 我是要这么一直拖着不加入呢
[357.6 - 359.8] 还是要适时的选择加入
[359.8 - 363.3] 但是要为我获得更大的利益获取呢
[363.3 - 364.6] 所以我们翻过头来想一想
[364.6 - 365.8] 为什么沙特在这个时候会
[365.8 - 368.0] 毅然决然的和胡赛打起来
[368.0 - 370.2] 首先当然是大家可以看
[370.2 - 373.0] 拜斯坦的总理非常坚定的表达
[373.0 - 375.5] 在这个时候我们会跟沙特站在一起
[375.5 - 381.0] 另外一定是有美的某方面的默许或者是说支持的
[381.0 - 386.0] 所以我们现在看到的就是不管是阿联酋 巴林 科威特还是沙特
[386.0 - 389.0] 其实都已经进入到这场战争中了
[389.0 - 392.5] 所以它已经是一场新的中东战争了
[392.5 - 394.0] 那还有一件事情我们可以看一下
[394.0 - 399.0] 特之前一直说 如果你再打相关的过往商船
[399.0 - 401.0] 我就打你的电厂或者桥梁
[401.0 - 403.6] 但这两天他换了一个思路
[403.6 - 405.5] 就是如果你在打过往的商船
[405.5 - 410.5] 那我就会从对你的资金冻结的这个账户中进行扣除
[410.5 - 415.1] 也就是说也许有一天对你的资金是可以逐渐去解冻的
[415.1 - 417.4] 但是到那个时候能解冻多少
[417.4 - 421.2] 首先要除掉之前的这些商船损失
[421.2 - 422.7] 当然这件事情出来之后
[422.7 - 425.3] 医的外长就肯定是非常不满的了
[425.3 - 427.4] 因为我们之前跟大家说过
[427.4 - 428.9] 打仗就是打钱
[428.9 - 430.9] 现在对于伊来说
[430.9 - 435.0] 最核心的或者是说最现实的压力就是经济压力了
[435.0 - 436.1] 那我们试想一下
[436.1 - 439.3] 未来某一天这场战争终要结束的
[439.3 - 440.9] 终要算账的
[440.9 - 443.0] 那到那个时候如果真的算账
[443.0 - 445.7] 伊朗能够获得的相关资金
[445.7 - 446.8] 返还的资金也好
[446.8 - 448.9] 或者是说重建资金也好
[448.9 - 452.2] 要减去很多这类的赔偿损失
[452.2 - 453.6] 那它肯定就要算账了
[453.6 - 455.6] 也就是说它必须要很清楚
[455.6 - 457.4] 接下来在未来的某一天
[457.4 - 459.3] 自己到底能夠拿到多少錢
[459.3 - 460.7] 那我們再擴展思考一下
[460.7 - 463.7] 當美發現這個方法更奏效
[463.7 - 466.8] 或者是說更能卡住E的錢袋子的話
[466.8 - 468.7] 不排除接下來它還可以說
[468.7 - 472.8] 如果你打了比如說中東阿拉伯國家的相關地方
[472.8 - 477.6] 未來所有的這些錢都要從你被凍結的資金裡去進行扣除的話
[477.6 - 481.3] 那麼對於E來說就要真正的去算算賬了
[481.3 - 482.9] 那之前我們跟大家分享過
[482.9 - 484.3] 當這場戰爭結束的時候
[484.3 - 486.3] 肯定要涉及到重建的問題
[486.3 - 488.9] 未來如果有一個重建基金的話
[488.9 - 492.3] 那我理解美政府是不會出錢的
[492.3 - 493.6] 當然美的民間有可能
[493.6 - 495.3] 那是資本的角度
[495.3 - 498.5] 而更多的是比如貸款
[498.5 - 500.7] 然後讓中東的阿拉伯這些國家
[500.7 - 504.0] 以及其他的相關國家和地區
[504.0 - 506.5] 當然主要是美的盟友為主了
[506.5 - 507.4] 去進行參與
[507.4 - 509.3] 好 那說完以上我們整體總結一下
[509.3 - 514.1] 首先這場中東戰爭已經明顯是擴大以及升級了
[514.1 - 515.3] 可能說的不太好聽
[515.3 - 517.6] 但在我来看这就是美的圈套
[517.6 - 520.8] 圈套一本来这场战争是他发动的
[520.8 - 523.0] 他是没有理由的那一方
[523.0 - 527.4] 但后来借着一又打了过往的这些商船
[527.4 - 530.4] 而且是好几次的打了过往的商船
[530.4 - 532.9] 现在美有点反客为主了
[532.9 - 536.0] 在这个过程中让中东阿拉伯这些国家
[536.0 - 539.8] 对于可以置身事外的可能性越来越低
[539.8 - 542.4] 对于一的同情越来越低
[542.4 - 546.1] 越来越没有办法不去站在一的对立面
[546.1 - 548.9] 与此同时对于欧洲也是这样的
[549.5 - 554.0] 没有办法更多的以所谓的合理的理由去跟美唱反调
[554.0 - 557.8] 圈套二利用这个所谓的MOU的停火时期
[557.8 - 560.5] 逐个击破中东的相关国家
[560.5 - 563.5] 一一满足他们的现实利益需求
[563.5 - 566.9] 那目标呢首先不要跟他去唱反调
[566.9 - 570.7] 第二尽可能的不去直接的支持一
[570.7 - 573.5] 不管是从言语上还是行动中
[573.5 - 574.3] 第三
[574.3 - 576.9] 如果接下来有相关的行动
[576.9 - 578.7] 拉拢更多的支持者
[578.7 - 580.3] 第三 把战争扩大化
[580.3 - 584.3] 让这场事情的主角不仅仅是美以一
[584.3 - 586.9] 而是有更多的中东国家的加入
[586.9 - 588.9] 那由于这些国家之间不团结
[588.9 - 592.3] 而且一些国家之间还有很现实的竞争关系
[592.3 - 593.3] 那么美就有机会了
[593.3 - 596.7] 让自己又一次的成为了这个地方的利益平衡者
[596.7 - 598.7] 而当战争进一步的扩大或者升级
[598.7 - 600.3] 它就可以适时的观望
[600.3 - 603.3] 或者往前也可以往后退一退
[603.4 - 605.0] 择机进行行事
[605.0 - 607.3] 虽然这些方并不能说是他的代理人
[607.3 - 609.0] 但从现实的角度考虑
[609.0 - 612.4] 他确实有了更多很实际的一线支持
[612.4 - 614.2] 而在这个过程中利用矛盾
[614.2 - 616.4] 制造新的矛盾 扩大矛盾
[616.4 - 620.1] 其实之前的这些中东战争的过程中
[620.1 - 621.8] 招数都是如此的
[621.8 - 623.8] 虽然以色列在这个过程中跟美之间
[623.8 - 625.9] 在一些问题上是会有矛盾的
[625.9 - 627.9] 但是整体其实都是配合
[627.9 - 629.1] 最后我们不要忘记
[629.1 - 632.6] 通过战争美这一方是要赚钱的
[632.6 - 637.1] 卖更多的武器给到中东的这些阿拉伯国家赚钱
[637.1 - 642.1] 让全球更多的国家和地区找美去买石油赚钱
[642.1 - 645.6] 现在净出口差不多350万桶每天
[645.6 - 649.4] 第三在金融市场上也是进行收割的
[649.4 - 652.7] 不管是黄金还是原油等大宗商品
[652.7 - 656.2] 那很多人总会觉得这是特的厉害
[656.2 - 658.8] 其实更多的还是背后的操盘手
[658.8 - 659.5] 贝森特
[659.5 - 663.9] 永远不要忘记他是那个在30岁就跟着索罗斯一起
[663.9 - 665.2] 狙击英镑的
[665.2 - 667.5] 对冲基金的一线人员
[667.5 - 668.3] 懂华尔街
[668.3 - 669.0] 懂货币
[669.0 - 669.8] 懂汇率
[669.8 - 672.9] 所以这件事情其实才是值得我们更多的去思考的
[672.9 - 674.7] 就是当下以及接下来的战争
[674.7 - 676.7] 尤其是有一定规模的战争
[676.7 - 678.2] 金融才是那个
[678.2 - 679.0] 无声的
[679.0 - 680.5] 但杀伤力更大的
[680.5 - 681.6] 重要武器
