[0.0 - 6.1] 这份从一开始就是各说各话的,只是走形式的,完全没有实质意义的MOU。
[334.6 - 335.8] 有不同声音
[335.8 - 338.8] 或者是说说和做有越来越多的分歧的话
[338.8 - 342.5] 其实也是给美创造更多的离境机会的
[342.5 - 345.0] 那接下来其实就是要看依主谈的这一派
[345.0 - 348.3] 是不是能够让革命卫队相对来说
[348.3 - 351.2] 在自己的管理或者是说控制范围之内了
[351.2 - 353.4] 第四也是跟以前不太一样的一点
[353.4 - 356.4] 那我们知道以前特去释放一些什么
[356.4 - 359.8] 我要打啦我要这样这样的相关比较激烈的言辞
[359.8 - 362.6] 都是在周五美股收盘之后
[362.6 - 365.2] 因为他完全不想影响自己的股市
[365.2 - 371.2] 但昨天他正式释放说这个MOU或者是说停火就结束了
[371.2 - 372.6] 是在美股的盘中
[372.6 - 376.6] 而跟以前不一样的是我们看到美股没有受影响
[376.6 - 381.6] 那国际原油价格在当下有了短暂的反应之后
[381.6 - 385.2] 反而继续下跌 而之后整体也是比较平稳的
[385.2 - 389.8] 那这就跟我们之前这个视频跟大家分享的基本上思路应该是一样的
[389.8 - 393.2] 就是现在这些大宗玩家 华尔街们
[393.2 - 395.2] 其实只关注的就是
[395.2 - 397.2] 霍尔木斯海峡会不会被封
[397.2 - 399.2] 只要不是真正的完全封闭
[399.2 - 401.2] 只要有邮轮可以出来
[401.2 - 403.2] 甚至不排除就算封闭了
[403.2 - 405.2] 也有邮轮可以从阿曼仪色
[405.2 - 407.2] 出来的话 那他们就选择
[407.2 - 409.2] 先放国际原油价格一码
[409.2 - 411.2] 当然在70多到80多这个价格区间
[411.2 - 413.2] 他们是会利用各种
[413.2 - 415.2] 短暂的信息 利用情绪
[415.2 - 417.2] 去进行收割的 那我看
[417.2 - 419.2] 有些朋友说现在的这个国际原油价格
[419.2 - 421.2] 还有包括黄金这几个月
[421.2 - 422.6] 已经被他们彻底玩坏了
[422.6 - 425.1] 在某种层面上其实可以这么理解
[425.3 - 426.7] 那为什么会有这样的结果呢
[426.7 - 429.6] 其实就是从所谓的停火
[429.7 - 431.8] 到所谓的MOU到今天
[431.8 - 434.2] 不断的反复不断的摩擦不断的试探
[434.2 - 435.4] 让他们逐渐的脱内
[435.4 - 436.4] 而且值得注意的是
[436.4 - 438.2] 就算国际原油价格下跌了
[438.2 - 439.6] 美元指数依旧强势
[439.7 - 440.9] 而且还在上涨中
[441.2 - 442.3] 那在这个过程中
[442.3 - 445.0] 其实也就对金价形成了进一步的压制了
[445.0 - 448.2] 那从所谓的停火到所谓的MOU到现在
[448.4 - 450.9] 美在中东的大部队没有撤退
[450.9 - 454.3] 而且这两天还在进行各种训练任务
[454.3 - 456.8] 那前两天特在北约的发言其实也挺明确了
[456.8 - 459.5] 就是他认为一不值得被相信
[459.5 - 461.5] 其实一也没有相信他
[461.5 - 463.3] 所以双方到现在为止
[463.3 - 465.5] 一就没有任何真实的信任感
[465.5 - 467.7] 那美方从一开始到现在为止
[467.7 - 470.5] 其实对于核武器对于农村油
[470.5 - 472.1] 态度都是非常坚决的
[472.1 - 474.5] 而在这个问题上到目前为止
[474.5 - 476.3] 跟一并没有达成一致
[476.3 - 477.9] 所以现在我们再想想
[477.9 - 480.1] 几个月前就跟大家讨论过的这个问题
[480.1 - 482.9] 就是不管是河还是浓缩油
[482.9 - 484.7] 最后到底怎么解决呢
[484.7 - 488.9] 难道一上下各个派别会达成高度一致
[488.9 - 490.5] 拱手相让给美尹吗
[490.5 - 493.3] 在我来看这种可能性是非常低的
[493.3 - 495.9] 所以这件事情通过所谓的只是谈
[495.9 - 497.1] 只是嘴上说
[497.1 - 498.7] 我不认为是可以解决的
[498.7 - 500.5] 所以我的观念一直都没有改变过
[500.5 - 503.5] 没有什么每被一拖下水
[503.5 - 506.9] 只是双方都有自己必须要实现的目的而已
[506.9 - 508.5] 当然他们有共同的目标
[508.5 - 511.5] 但同时他们各自也都是有着自己的目的了
[511.5 - 513.1] 当然现在还有一个问题
[513.1 - 514.6] 我还没有想的特别明确
[515.0 - 519.2] 就是这件事情是不是真的会拖到中期选举之后
