[0.1 - 3.4] AI算力和金融市场的融合又要往前推进一步了。
[264.0 - 268.2] 关于英伟达联合华尔街六个头部的金融机构
[268.7 - 272.3] 5000亿美元去打造的AI融资平台的事情
[272.3 - 275.9] 仔细想一想其实在时间节点上和商业逻辑上
[275.9 - 278.0] 是有非常强的联动性的
[278.0 - 281.6] 在我理解这应该是算力金融化或者是说证券化
[281.8 - 284.7] 整个这个非常大的趋势背景下的
[284.7 - 287.6] 双方的互相配合或者是说互补
[287.6 - 289.8] 5000亿美元的这个平台
[289.8 - 293.5] 其实打造的是底层资产和信贷市场
[293.5 - 295.4] 而智商所的算力期货
[295.4 - 299.9] 其实是为它提供配套的定价与避险工具
[299.9 - 303.1] 5000亿美元的资金砸进算力基础设施
[303.1 - 305.3] 对于金融机构和债务人来说
[305.3 - 309.1] 最怕的应该就是算力租金暴跌债务违约
[309.1 - 311.4] 而智商所推出的这个算力期货
[311.4 - 313.9] 似乎正好能补这一环
[313.9 - 317.7] 它想为这5000亿美元的庞大的信贷体系
[317.7 - 320.9] 提供一个公开的透明的远期定价曲线
[320.9 - 323.0] 以及套期保值的工具
[323.0 - 325.2] 那有了公开可交易的期货品种
[325.2 - 327.6] 华尔街的对冲基金就可以设计
[327.6 - 330.4] 比如像买入算利现货设施
[330.4 - 334.4] 加卖出算利期货这种无风险套利策略
[334.4 - 338.1] 或者也可以发行算利资产证券化的产品
[338.1 - 342.2] 而这反过来也会帮助这5000亿美元的
[342.2 - 345.7] 算力融资平台更好的去吸引社会资本
[345.7 - 347.2] 再有英伟达外芯片
[347.2 - 350.3] 它用残值担保和生态绑定
[350.3 - 352.3] 去锁定它的客户需求
[352.3 - 353.8] 那这六大金融机构
[353.8 - 355.7] 注入资金流动性
[355.7 - 358.6] 把算力包装成类似于向基础设施的
[358.6 - 360.4] 长期高收益债权
[360.4 - 363.4] 而智商所通过建立交易所
[363.4 - 365.8] 赋予它像原有一样的
[365.8 - 367.9] 全球金融商品属性
[367.9 - 370.1] 所以这一系列连起来
[370.1 - 372.8] 其实就是在一起推动AI算力
[372.8 - 374.7] 从单纯的科技硬件采购
[374.7 - 378.9] 向高度金融化的基础设施资产运作
[378.9 - 380.1] 在全面转变
[380.1 - 381.9] 所以朋友们可以再回顾一下
[381.9 - 384.6] 之前的这个视频当时跟大家分享的
[384.6 - 387.4] 为什么因为大家现在这么着急呢
[387.4 - 390.7] 以及现在为什么美的相关资本市场
[390.7 - 393.9] 以及相关的交易所动作这么频繁呢
[393.9 - 395.8] AI算力的发展只是第一步
[395.8 - 398.9] 只有或者是说必须要加速推进
[398.9 - 401.8] 全面的金融化才更加有利可圖
[401.8 - 405.1] 或者是說更能夠快速地在全球蔓延
