[0.0 - 3.2] 昨天的视频有不少朋友还是可以在思考之后理解的。
[478.4 - 479.6] 脑子极其清醒
[479.6 - 482.4] 能力不容小视的那个非传统政客
[482.4 - 483.4] 最后跟大家分享一个
[483.4 - 485.7] 值得你反复品味的小细节
[485.7 - 486.8] 从二战到现在
[486.8 - 488.2] 美国做很多事情
[488.2 - 489.9] 他有一个非常重要的主线
[489.9 - 492.6] 就是维护他的美元以及美元体系
[492.6 - 494.4] 他可以发动战争 可以抢资源
[494.4 - 496.6] 他也可以对别人进行各种制裁
[496.6 - 498.7] 他可以有很多很多的理由
[498.7 - 502.0] 但他几乎不会去说自己做这些事情
[502.0 - 504.8] 目的是为了维护美元和美元体系
[504.8 - 507.4] 所以大家有没有觉得这件事情很有意思呢
[507.4 - 510.1] 他有一个非常强大的全球舆论体系
[510.1 - 512.2] 他可以把理由编得天花乱坠
[512.2 - 515.1] 但鲜少会直接触碰到他的美元体系
[515.1 - 516.8] 与此同时不管两党之间
[516.8 - 519.8] 怎么互相看不上 怎么互相诋毁谩骂
[519.8 - 521.8] 但到了美元这件事情
[521.8 - 523.8] 大家都会闭口的
[523.8 - 525.8] 有些东西对于他来说可以阶段性的牺牲
[525.8 - 527.8] 即使有些憋屈
[527.8 - 529.8] 也可以阶段性的先放一放
[529.8 - 531.8] 因为美元和美元体系是绝对不能出问题的
[531.8 - 533.8] 而有些时候即使他不想出手
[533.8 - 535.8] 他也不得不出手
[535.8 - 537.8] 因为一旦不出手
[537.8 - 539.8] 或者是说一旦再不出手
[539.8 - 541.8] 就有可能触碰或者是说
[541.8 - 543.8] 震动到美元体系了
[543.8 - 545.8] 所以还是那句话美元是他的命根
[545.8 - 547.8] 是他的立国之本
[547.8 - 549.8] 都在美元体系之下
[549.8 - 550.8] 对于美国来说
[550.8 - 552.8] 这件事情受了影响
[552.8 - 553.8] 其他的事情
[553.8 - 554.8] 我要先放到一边
