[0.0 - 2.6] 昨天视频之后有朋友发私信问说
[282.4 - 284.5] 關於美債利息的問題
[284.5 - 288.2] 那在我理解,这反而是在中期选举之前
[288.2 - 290.9] 可以被排在最后边的一个担忧
[290.9 - 293.2] 因为不管怎么样,美联储还是可以做出
[293.2 - 296.9] 由于一些压力,先加息到后边再降息的决定的
[296.9 - 300.6] 而前面那两个才是美联储最现实的短期压力
[300.6 - 303.5] 好,除此之外,其实还有一点要考虑就是
[303.5 - 307.2] 卧室说要把通胀拉回2%的目标
[307.2 - 309.8] 同时他又说了,如果没达到
[309.8 - 312.4] 美联储还有很多工作要做
[312.4 - 315.3] 那这个工作他也没有明确说就是要加息
[315.3 - 317.0] 不排除还有一种可能性
[317.0 - 319.9] 就是对于怎么去衡量通胀
[319.9 - 321.1] 也做一定的调整
[321.1 - 323.9] 那其实全球的一些央行是有类似的做法的
[323.9 - 325.7] 比如说加拿大央行
[325.7 - 329.1] 它的官方声明是长期通胀目标是2%
[329.1 - 331.5] 但是允许进行区间波动的
[331.5 - 332.8] 那在像澳大利亚央行
[332.8 - 335.9] 它的通胀目标是2%到3%
[335.9 - 337.3] 好那这是一种做法
[337.3 - 339.8] 还有就是之前卧室也提及过的
[339.8 - 340.6] 结尾均值
[340.6 - 343.0] 那如果踢出極值的指標
[343.0 - 346.1] 這其實就變相放寬了通脹的容忍度
[346.1 - 348.4] 當然直接這麼做肯定是不好看的
[348.4 - 351.6] 而且還要去面對相關的國會質詢
[351.6 - 354.0] 所以到這別忘了那五大工作組
[354.0 - 356.2] 不排除未來相關的報告
[356.2 - 358.9] 會給他的相關調整作背書
[358.9 - 362.4] 好 那接下來我們再聊聊關於中期選舉之後
[362.4 - 365.5] 政治上的短期徹軸算是解除了
[365.5 - 369.2] 那麼就必須要回到通脹這件事情本身了
[369.2 - 374.0] 如果剛才我們前面說的相關的調整是要做的話
[374.0 - 377.0] 其實在是不是加息這件事情上
[377.0 - 379.6] 那美聯儲是有更多的靈活性的
[379.6 - 382.2] 那如果相關的指標不調整
[382.2 - 386.4] 那麼美聯儲就必須要非常直接的去面對通脹數據了
[386.4 - 391.5] 到那個時候國際能源價格傳導到國內相關石油價格
[391.5 - 393.3] 就是不可回避的問題了
[393.3 - 395.4] 那如果在中期選舉之後加息
[395.4 - 397.4] 那么最现实的两个压力
[397.4 - 399.3] 一个是日元的汇率
[399.3 - 401.7] 另外一个就是美债的利息支出
[401.7 - 404.2] 当然如果选择去走加息这步险棋
[404.2 - 407.3] 它可以进一步的去抽全球的流动性
[407.3 - 409.9] 对于一些其实是需要降息的地方
[409.9 - 411.3] 会加大压力的
[411.3 - 412.2] 不过在我来看的话
[412.2 - 414.7] 难道美股美债以及日元汇率
[414.7 - 416.0] 它真的不考虑了吗
[416.0 - 417.8] 如果真的要走出这一步
[417.8 - 420.2] 就是我们去年底在直播中跟大家分享的
[420.2 - 424.3] 不惜牺牲全球经济利益经济发展为代价
[424.3 - 425.7] 去解決它的問題
[425.7 - 429.2] 畢竟臥實是對AI的發展能夠帶動美國經濟
[429.2 - 432.2] 進一步的高速增長是寄予厚望的
[432.2 - 434.0] 而我們之前也跟大家分享過了
[434.0 - 438.3] 現在這些頭部的科技公司都在大量的借債
[438.3 - 443.0] 那加息就會使得這些科技公司借債的成本
[443.0 - 444.8] 越來越高難度越來越大
[444.8 - 446.1] 那一旦出現這樣的情況
[446.1 - 449.2] 對於臥實之前所期望的AI科技的快速發展
[449.2 - 451.7] 能夠促使美國經濟進一步的繁榮
[451.7 - 456.7] 对于美国未来长期的通胀是可以进一步的去压低或者是说降低的
[456.7 - 459.1] 这个叙事就要受阻了
[459.1 - 460.2] 好 那最后说回来
[460.2 - 463.5] 对于美来说当下一级接下来最不确定的
[463.5 - 466.9] 而且是会对通胀产生非常直接影响的
[466.9 - 470.2] 就是伊会不会主动去升级中东的战事
[470.2 - 471.8] 9月和10月的一期会议
[471.8 - 474.3] 都要为这个潜在的不确定因素
[474.3 - 475.9] 接受最现实的考验
